id,finding,status,action,evidence
R1,§4.4 '≥75% of them' vs '25 points',CONFIRMED,FIXED,"Scoped both sites to the same denominator; '75% of them' was a fraction of the 92%, the 25-point argument needs 75% of all rows"
R2,Dangling 'raw' in intro; 'pre-registered' in notation table,CONFIRMED,FIXED,Both edited; two §6 self-references removed
R3,§4.8 self-contradiction on the CE-only restatement,CONFIRMED,FIXED,Rewritten to say what is and is not recoverable from the saved data
R6,'8x the floor' understates: 0.3916/0.045 = 8.70,CONFIRMED,FIXED,Changed to 'nearly nine times'
R8,98.4% full-vocab vs 83% active arithmetic,CONFIRMED (cross-batch only),FIXED,On a matched batch it closes: (98.66-92.18)/7.82 = 82.9% vs 83.1% measured. Batch names added
R9,B@42 = 4.390 is not any committed run,CONFIRMED - the most serious finding,FIXED,True value 4.3993750 (results/phase_b/b_seed42.json). 3 print sites + every surgery delta in Table 4 corrected
R12,Newline row 8.7%/-0.86 unlabelled by seed,CONFIRMED,FIXED,"Verified from arrays: seed 123 = 8.69%/-0.860, seed 42 = 10.79%/-0.913. Both labelled"
R13,'0.3% of rows' may be Muon-only,"CONFIRMED, immaterial",ACCEPTED,"Recomputed: Muon 0.301%, AdamW 0.253%. Both round to 0.3%, so the headline holds for both"
R14,Table 4 mixes n=5 baseline mean with single-seed runs,CONFIRMED,FIXED,Caption now states the two reference columns are not on the same footing; the 0.018 offset is given
R15,Stop-gradient result cuts against the mixture account,CONFIRMED - highest-value finding,FIXED,"New Discussion paragraph states the tension plainly: sg is the worst condition (4.493, +0.508) and the probe moves two quantities at once"
R16,P3~P2 bracket arm direction unbounded,"CONFIRMED, and our data argues it inverts",FIXED,"Committed sweeps put offset-3 CE 0.58-0.92 nats above offset-2, so P3 is flatter and the substitution likely biases DOWNWARD. Stated; direct P3 estimate promoted in Future work"
R17,sigma excludes KL-estimator variance,CONFIRMED,FIXED,"Caveat added: both sigma figures are run-to-run only; sigma-multiples are an upper bound on significance, not a test"
R18,Measured gradient is head+embedding path (weights are tied),CONFIRMED - the 'exactly 0.750 proves head-only' inference does NOT hold,FIXED,"model/gpt2.py:103 ties lm_head.weight to wte.weight, so autograd sums both paths. New Method paragraph; empirical bound 84.7% of rows within 0.001 of 0.75; 'active' restated as target-or-input presence"
R19,Roadmap skips §4.4 and §4.8,CONFIRMED,FIXED,sec:general and sec:rare now named
R20,Zuhri mischaracterized as loss-level small-scale degradation,CONFIRMED,FIXED,"Abstract says 'inconsistent improvements, underperform on standard NLP benchmarks'; smallest model 340M. Reworded and gloeckle2024mtp cited for the loss-level claim"
R21,Zuhri has a v2 (Feb 2026),CONFIRMED via arXiv API,FIXED,"note = {Version 2, February 2026} added"
R22,MuToR is NeurIPS 2025,UNVERIFIABLE,ACCEPTED,arXiv 2505.10518 carries no journal_ref. Not asserted rather than guessed
R23,'misleading positive' should be 'false positive',CONFIRMED,FIXED,Changed
R24,Top-k row deletion would make the result vivid,ACCEPTED - best suggestion in the review,ADDED,"Computed from committed arrays: deleting the 4 highest-mass opposed rows (0.008% of vocab) flips the mass-weighted mean cosine from -0.20..-0.14 to +0.18..+0.25 (Muon) and -0.35..-0.30 to +0.02..+0.12 (AdamW), all six runs. Gated and mutation-tested"
P1,Gate did not cover any per-seed loss value,FOUND WHILE FIXING R9,FIXED,New family-C2 checks recompute every surgery row and both delta columns from phase_b/phase_c JSONs. Gate 150 -> 161
P2,'essentially flat' overstated; permutation global had no spread; Spearman had no n,CONFIRMED,FIXED,"'nearly flat, with a weak residual'; global permutation 0.023-0.035 across six runs; n~3,900 active rows"
AUD-A1,Closure qualifier '0.2 points' held only on Muon seed 42,CONFIRMED,FIXED,"Recomputed all six: five close within 0.3 points, Muon seed 456 misses by 8.7. Text now states the spread and calls the reconstruction approximate, not an identity"
AUD-A2,"Global permutation 0.023-0.035 was my reimplementation, not the paper's code",CONFIRMED,FIXED,No permutation-null code is committed; my values are RNG-dependent (0.024-0.035 / 0.023-0.035 / 0.025-0.043 at three seeds). Reverted to the original 0.031 and disclosed that neither null is regenerable
AUD-A3,'340M above the scale we study' contradicts the paper's <=350M scope,CONFIRMED,FIXED,"Reworded to 'above the 124M at which we measure the loss gap, and close to the 350M of our scale check'"
AUD-A4,Stated cause of the seed-456 closure miss was refuted by the data,CONFIRMED,FIXED,"I wrote that unsigned counting of anti-aligned rows caused it. Seed 456 has ZERO parallel rows with cos<-0.3, and the unsigned term pushes the other way (+0.0 to +0.07 pts). Real cause: 404 parallel rows below |cos|=0.3 (-9.6 pts) vs 24-43 in the other five. Text corrected and gated (7 new checks, 4 mutations caught)"
AUD-A5,Range upper endpoint 98.7% understated the six-run max,CONFIRMED,FIXED,"AdamW seed 42 is 98.82; range now 97.7--98.8%, recomputed by the gate"
R2-A1,"Reconciliation sentence maps to 71-85%, not 'within 0.2 points'",CONFIRMED (their arithmetic exact),FIXED,"L2/sec:aligned. Reviewer's identity verified: implied x spans 72.7-84.6 across the six runs. Replaced the prose with Table 3, a per-run F/a/reconstructed/measured/sub-threshold-count table recomputed from the arrays; 15 gate checks recompute every cell"
R2-A2,Embedding-path check bounds the wrong population,CONFIRMED,FIXED,"L1/sec:instrument. The 84.7% are rows with no target, which the embedding path never touches, so the check was uninformative. Verified input-rows subset target-rows from the loss construction (ce targets batch[:,1:], input batch[:,:]). Paragraph rewritten: retires the target-or-input caveat as empty, states the active-row contamination as an open limitation, names two closing measurements in Limitations. Tolerance-0.001 float-noise conflict reconciled; sec:aligned cross-reference added"
R2-A3,'both committed values are from Table 1' - 4.399 is in Table 4,CONFIRMED,FIXED,"L8. Verified 4.399 absent from method.tex, present in appendix_surgery.tex. Now cites tab:surgery"
R2-A4,"Two comparators, both 0.009, opposite signs",CONFIRMED,FIXED,"L8. Verified: vs mean +0.0090, vs seed 42 -0.0087. Matched-seed comparator adopted throughout; gate comparator and 85% margin now stated in method.tex"
R2-A5,'worst condition we ran' is false,CONFIRMED,FIXED,L6. PCGrad 4.5444 and Pure-Muon 4.5563 exceed sg 4.4927. Scoped to 'worst of the auxiliary conditions in tab:conditions'
R2-A6,Duplicated 'weak residual' + caption out of sync,CONFIRMED,FIXED,"L5. Duplication was mine, from an earlier edit. Removed; fig:tokenfreq caption synced to the softened body"
R2-A7,Sigma paragraph orphans the following sentence,CONFIRMED,FIXED,L8. Block moved after the residual sentence as the reviewer specified
R2-A8,0.034 vs displayed 0.033,CONFIRMED,FIXED,L8. Unrounded 0.0338; both now stated
R2-B,Gloeckle loss-level claim still wrong,CONFIRMED,FIXED,"L0. arXiv 2404.19737 abstract frames all results as HumanEval/MBPP downstream and says MTP is INCREASINGLY USEFUL at larger sizes. Rewritten as the reviewer proposed: both papers cited for benchmark degradation, our +0.39-nat loss result claimed as the original observation, both smallest models (300M/340M) noted as above 124M"
R2-C2r,"Report the aggregate, not just <cos>_mass; name the four rows",CONFIRMED,FIXED,"L4. Aggregate recomputed: Muon -0.19..-0.13 to +0.17..+0.24, AdamW -0.34..-0.30 to +0.02..+0.11. Same four ids (11, 13, 198, 262) in all six runs. Both range pairs gated, 5 mutations caught"
R2-D1,fig3 y-axis label spans negative values,CONFIRMED,FIXED,"L2. make_figures.py label now 'Aggregate cosine (can be negative) / per-row fraction in [0,1]'; figure regenerated"
R2-D2,fig7 lacks optimizer/seed/step,CONFIRMED,FIXED,"L4. Rendered Fig 7 is fig:perlayer. Provenance read from the generator: a1_muon_interference.json, step 1000. Added to the caption"
R2-D3,Gerontopoulos is NeurIPS 2025,UNVERIFIABLE,ACCEPTED (unverifiable),L0. arXiv 2505.10518 still returns journal_ref=None and comment=None. Second time raised; I will not assert a venue I cannot confirm. Left as preprint
R2-D4,Independent Researcher + asu.edu,CONFIRMED,FIXED,"Venue furniture, not a spine layer. User chose keep-both-with-note; author block now carries '(institutional address; this work is unaffiliated)'"
R2-D5,'outcome is also loss-only',CONFIRMED,FIXED,L9. Now 'The outcome measure is also narrow'
R2-D6,'most of the alignment is intrinsic' needs a denominator,CONFIRMED,FIXED,"L5. Both denominators now stated: full-vocab 94.5 vs 4.4 favours intrinsic; the 8-point informative range 2.5 vs 4.4 reverses it. Claim weakened to 'substantial', not 'the larger'"
R2-D11,Abstract ranges Muon but not AdamW,CONFIRMED,FIXED,"L2. Now -0.28 to -0.34. The -0.34 and -0.30 ends are the norm-committing AdamW runs (-0.3355/-0.3186/-0.2964); the -0.28 end is the phase-A step-1000 run (a2_adamw_interference.json, -0.28490), which is the same batch the Muon range's shallow end comes from. Abstract re-trimmed to the 250-word cap"
R2-D8,74.9/35.2/0.42/0 cliff reads as a possible masking bug,CONFIRMED; my first close was wrong,"DISCLOSED, not explained","L9. I first closed this with a shared-span null after checking a single moment (1/sqrt(k) vs the mode) and called the shape 'not anomalous'. Testing all four committed bins refutes that: any k reproducing the >0.1 fraction (74.9%) caps the >0.2/>0.3 ratio at ~2, and the observed ratio is 84; the best single k is 23, still overpredicting >0.3 by ~37x. Both nulls fail -- chance (isotropic d=768: >0.1 should be 0.56%, is 74.9%) and shared-span. The passage now states the shape is unexplained, that the control's job is the near-zero aggregate (0.002) not a per-row distribution, and names committing per-row cosines as the closing measurement. Gate family C8 recomputes the ratio and ceiling from a3_control.json and fails if a fitted account is reasserted"
R2-D7,"CE-vs-L1 active-row control is one run, one snapshot",CONFIRMED,OPEN by measurement,L5. Needs a GPU pass to compute the active-row control at the second snapshot; disclosed in Limitations
R2-D9,active-row median trajectory not plotted,CONFIRMED,OPEN by measurement,"L2. phase-A snapshots commit only binned fractions, no per-row arrays, so the trajectory cannot be plotted from committed data"
R2-D10,exact target mask instead of the norm-ratio proxy,CONFIRMED,OPEN by measurement,L1. Needs a measurement pass that commits the target mask; the norm-ratio classifier is disclosed as a proxy in the Method
R2-D12,repository public and complete,CONFIRMED,OWNER ACTION,Not verifiable from inside the sandbox; owner confirms before the DOI resolves
